[0, 0]	40
[0, 0, 0]	53
[0, 0, 0, 0]	104
[0, 0, 0, 0, 0]	63
[0, 0, 0, 0, 0, 0]	84
[0, 0, 0, 0, 0, 0, 0]	95
[0, 0, 0, 0, 0, 0, 0, 0]	41
[0, 0, 0, 0, 0, 0, 0, 0, 0]	567
[0, 2, 2]	1
[1, 1, 0, 2, 3]	3
[1, 1, 1]	5
[1, 1, 1, 1]	8
[1, 1, 1, 1, 1]	7
[2, 2, 2]	1
[2, 2, 2, 2]	8
[3, 1, 0]	1
[3, 1, 1, 0]	2
[4, 4, 4]	1
[9, 10, 9]	5
[17, 20, 17]	5
[51, 51, 187]	1
[51, 59, 179]	1
[51, 59, 179, 51, 59, 179, 51, 59, 179]	7
[76, 76, 76]	1
[82, 67, 0, 0]	2
[92, 255, 0]	1
[100, 0, 0]	1
[102, 102, 119, 102]	2
[102, 102, 119, 102, 102]	3
[102, 103, 118, 102]	2
[111, 55, 22]	1
[119, 102, 102, 119, 102]	3
[140, 204, 206]	1
[153, 153, 221]	1
[153, 157, 217, 153, 157]	3
[157, 217, 153, 157, 217, 153, 157]	5
[166, 255, 0]	1
[204, 204, 238]	1
[204, 204, 238, 204, 204, 238]	4
[204, 204, 238, 204, 204, 238, 204, 204, 238]	15
[204, 204, 238, 204, 204, 238, 204, 204, 238, 204]	8
[204, 206, 236]	9
[204, 238, 204, 204, 238]	3
[206, 236, 204, 206, 236, 204, 206]	5
[208, 208, 208]	1
[217, 153, 157]	1
[217, 153, 157, 217, 153, 157, 217, 153, 157, 217]	17
[240, 172]	1
[255, 0]	102
[255, 0, 145]	1
[255, 0, 242]	1
